material_id,subgroup_id,material_name,Density_kg_m3,Youngs_Modulus_GPa,Strength_MPa,Thermal_Conductivity_W_mK,Cost_EUR_kg,E_over_rho,Strength_over_rho,SqrtE_over_rho
1,1,Low Carbon Steel,7850,210,250,50,0.8,0.0268,0.0318,0.0059
2,1,Stainless Steel,8000,193,600,16,2.5,0.0241,0.075,0.0055
3,2,Al 6061,2700,69,310,167,2.2,0.0256,0.1148,0.005
4,2,Al 7075,2810,72,570,130,3.5,0.0256,0.2028,0.0051
5,3,Ti-6Al-4V,4430,114,900,7,15,0.0257,0.2032,0.0054
6,4,Copper,8960,110,220,400,6,0.0123,0.0246,0.0037
7,5,Polyethylene (PE),950,1,25,0.4,1.5,0.0011,0.0263,0.001
8,5,Polypropylene (PP),900,1.5,35,0.2,1.6,0.0017,0.0389,0.0013
9,5,Polycarbonate (PC),1200,2.4,70,0.2,3,0.002,0.0583,0.0013
10,6,Epoxy,1200,3.5,85,0.25,4,0.0029,0.0708,0.0016
11,7,Alumina,3900,380,300,30,10,0.0974,0.0769,0.0158
12,7,Silica Glass,2200,70,50,1.4,2,0.0318,0.0227,0.0054
13,8,Silicon Carbide,3200,410,400,120,20,0.1281,0.125,0.0179
14,9,CFRP,1600,150,800,6,25,0.0938,0.5,0.0097
15,9,GFRP,1900,40,500,0.3,8,0.0211,0.2632,0.0033
16,10,Wood (Pine),500,10,80,0.12,0.5,0.02,0.16,0.0063
17,10,Bamboo,700,20,200,0.2,1.2,0.0286,0.2857,0.0064
18,11,PU Foam,50,0.05,1,0.03,2,0.001,0.02,0.0003
19,12,Al Foam,500,5,10,10,12,0.01,0.02,0.0014
20,13,Natural Rubber,1100,0.01,20,0.13,2.5,0.00001,0.0182,0.0001
21,13,Silicone Rubber,1200,0.005,10,0.2,4,0.000004,0.0083,0.00006
22,14,Borosilicate Glass,2230,64,40,1.2,3,0.0287,0.0179,0.0051
23,14,Soda-lime Glass,2500,70,45,1,1.5,0.028,0.018,0.0053
